#,ID,Continent,Continent_detail,Country,Full year ,Date mean in BP,Lat.,Long.,As_Ru_3K_0.9K_BCE,As_Ru_5.8K_3.6K_BCE,As_Ru_37.4K_3K_BCE,As_Ru_E_0.1K_1.4K_CE,C_Af_6K_1K_BCE,C_NW_As_2.2K_1.6K_BCE,C_N_As_BCE,C_N_As_CE,E_Af_2.5KBCE_1.6KCE,E_As_6KBCE_0.25KCE,E_C_Eu_6K_2K_BCE,E_Eu_9K_3K_BCE,E_Eu_CE,E_Eu_Po_3K_2.3K_BCE,M_Am_0.6K_1.7K_CE,M_Am_Cuba_1.4KBCE_1.3KCE,NN_Am_1K_2.0K_CE,N_Am_11.5KBCE_1.2KCE,N_Eu_0.7K_1.7K_CE,Oceania_1KBCE_2KCE,SE_As_6KBCE_0.8KCE,SN_Am_3.5KBCE_1.5KCE,SW_As_8K_1.1K_BCE,SW_C_As_9K_0.8K_BCE,S_Am_CE,S_Eu_5.4K_1K_BCE,S_Eu_16K_5K_BCE,S_Eu_CE,S_M_Am_10K_1.5K_BCE,W_Eu_5.5K_2.5K_BCE,W_Eu_30K_5K_BCE,W_Eu_38K_BCE,W_Eu_CE,W_Eu_GB_4K_2.5K_BCE
3923,I0626_all,Asia,Southeast Asia,Vietnam,2200-1600 BCE,3850,20.13333333,105.9833333,0.0044,0,0.017,0,0.002,0,0,0,0.006,0,0,0,0.0092,0,0,0,0,0,0,0.0031,0.8862,0,0.0273,0.0416,0,0,0,0,0,0,0,0.0001,0,0
3924,I0627_all,Asia,Southeast Asia,Vietnam,"2133-1892 calBCE (3630¡À35 BP, Poz-81116)",3949,20.13333333,105.9833333,0.0108,0,0,0,0,0,0.0092,0.0055,0.0053,0,0,0,0,0.0014,0,0,0,0,0,0.0073,0.9547,0,0.0033,0,0,0,0,0,0,0,0,0,0,0
3925,I1137_all_published,Asia,Southeast Asia,Vietnam,"1882-1742 calBCE (3480¡À20 BP, PSUAMS-2410)",3758,20.13333333,105.9833333,0.018,0,0,0,0.0029,0,0,0.0047,0,0,0,0,0,0,0,0,0,0.002,0,0.0033,0.9533,0.0041,0.0056,0.003,0,0,0,0,0,0,0,0.0014,0,0
3926,I1859_all,Asia,Southeast Asia,Vietnam,"1889-1742 calBCE (3490¡À25 BP, PSUAMS-1920)",3762,20.13333333,105.9833333,0,0,0.0105,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.9755,0,0,0,0,0,0,0,0,0.005,0,0.0009,0,0
3927,I2497_all,Asia,Southeast Asia,Vietnam,100 BCE - 100 CE,1950,19.8,105.8,0.0209,0,0.0118,0,0.0024,0.0003,0,0.0039,0.0052,0,0,0,0,0.0022,0,0,0,0,0.0046,0.0062,0.9305,0.0059,0,0,0,0,0,0,0,0,0,0.0008,0,0
3928,I2731_all,Asia,Southeast Asia,Vietnam,"1872-1636 calBCE (3430¡À20 BP, PSUAMS-2370)",3684,20.13333333,105.9833333,0,0,0.0068,0,0,0,0,0.0081,0.0155,0,0,0,0,0,0,0,0,0.0067,0.0137,0.0149,0.8657,0,0,0.0666,0,0,0,0,0,0,0,0,0,0
3929,I4451_all,Oceania,Oceania,Vanuatu,"410-210 calBCE (2348¡À32 BP, Wk-20390)",2260,-17.689401,168.289509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3930,I0626,Asia,Southeast Asia,Vietnam,2200-1600 BCE,3850,20.13333333,105.9833333,0,0,0,0,0,0,0,0,0.0044,0,0,0.0016,0,0,0,0,0,0,0.0037,0,0.9616,0,0,0.0283,0,0,0,0,0,0,0,0,0,0
3931,I0627,Asia,Southeast Asia,Vietnam,"2133-1892 calBCE (3630¡À35 BP, Poz-81116)",3949,20.13333333,105.9833333,0,0,0,0,0,0.0021,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0.9964,0,0,0,0,0,0,0,0,0,0,0,0,0
3932,I0944,Asia,North Asia,Russia,"2026-1701 calBCE (3540¡À52 BP, AA-90949)",3820,53.876,59.076,0,0.0175,0,0,0.0027,0,0.8901,0,0.0059,0,0,0,0,0.0011,0,0,0.0234,0,0,0,0,0,0,0.0202,0,0.0193,0,0,0,0,0,0,0.0195,0
3934,I1137,Asia,Southeast Asia,Vietnam,"1882-1742 calBCE (3480¡À20 BP, PSUAMS-2410)",3758,20.13333333,105.9833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9932,0,0.0065,0,0,0,0,0,0,0,0,0,0,0
3935,I1781,Asia,Central Asia,Turkmenistan,"2014-1771 calBCE (3550¡À30 BP, PSUAMS-2065)",3832,38.21228,62.03443,0.0084,0,0,0,0,0.021,0,0,0.0036,0.0059,0,0.0034,0.0184,0,0,0,0,0.0068,0.0031,0,0,0,0.1529,0.7168,0,0,0,0.053,0.0047,0,0,0.0006,0,0
3936,I1782,Asia,Central Asia,Turkmenistan,"2289-2141 calBCE (3785¡À20 BP, PSUAMS-2309)",4163,38.21228,62.03443,0.0052,0,0.0023,0,0.0031,0.0523,0.0372,0.0125,0,0,0,0,0.0039,0.0023,0,0,0,0,0,0.0073,0,0.0018,0.1002,0.7331,0,0,0,0,0,0.0351,0,0.0008,0,0.0027
3937,I1787,Asia,Central Asia,Turkmenistan,"2140-1977 calBCE (3680¡À20 BP, PSUAMS-2310)",4023,38.21228,62.03443,0.0367,0,0,0,0.0051,0.0124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1316,0.7469,0,0.0322,0,0,0,0,0,0,0,0.0347
3938,I1788,Asia,Central Asia,Turkmenistan,"2130-1896 calBCE (3630¡À30 BP, PSUAMS-2066)",3947,38.21228,62.03443,0.005,0,0,0,0,0.0101,0.048,0.0099,0,0,0.0127,0,0,0.0024,0,0.0034,0,0,0,0,0,0,0.1591,0.7377,0.0019,0.0031,0.0053,0,0,0,0,0,0,0
3939,I1789,Asia,Central Asia,Turkmenistan,"2282-2028 calBCE (3735¡À35 BP, Poz-83486)",4082,38.21228,62.03443,0.0196,0,0,0,0,0.0366,0.1115,0.0738,0.0128,0,0,0.0407,0,0.0206,0,0,0,0,0,0,0,0,0.0892,0.3749,0,0.0318,0,0.1655,0,0,0,0,0.0228,0
3940,I1790,Asia,Central Asia,Turkmenistan,"2135-1953 calBCE (3660¡À20 BP, PSUAMS-2311)",3994,38.21228,62.03443,0.0011,0.0112,0.0038,0,0.0013,0.0247,0.0008,0,0,0,0,0,0.0109,0.0043,0,0.0031,0,0,0.0073,0,0,0,0.1604,0.749,0,0.0047,0,0,0.0041,0,0,0.002,0,0.011
3941,I1792,Asia,Central Asia,Turkmenistan,"2456-2200 calBCE (3840¡À35 BP, Poz-83487)",4254,38.21228,62.03443,0,0.0067,0,0.0133,0,0.3248,0.082,0.0328,0,0,0,0.0746,0.1343,0,0,0,0,0.0118,0,0,0,0,0,0.3176,0,0,0,0,0,0,0,0,0,0
3942,I1793,Asia,Central Asia,Turkmenistan,"2195-2027 calBCE (3700¡À20 BP, PSUAMS-2312)",4038,38.21228,62.03443,0,0.0084,0,0,0.0006,0.0393,0.037,0,0,0,0.0216,0,0.0129,0.0008,0,0,0,0.0016,0,0,0,0,0.0807,0.7254,0,0,0.0214,0.0425,0,0,0.0058,0,0,0
3943,I1859,Asia,Southeast Asia,Vietnam,"1889-1742 calBCE (3490¡À25 BP, PSUAMS-1920)",3762,20.13333333,105.9833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9986,0,0,0,0,0,0,0,0,0,0,0,0,0
3944,I2085,Asia,Central Asia,Turkmenistan,"2020-1882 calBCE (3580¡À20 BP, PSUAMS-2313)",3881,38.21228,62.03443,0,0,0,0,0,0.0038,0.0024,0.0144,0.0023,0,0,0,0,0.0063,0,0,0,0,0,0.0023,0,0.0008,0.1587,0.7092,0,0,0,0.0961,0,0,0,0,0,0.003
3945,I2087,Asia,Central Asia,Turkmenistan,"2197-2034 calBCE (3715¡À20 BP, PSUAMS-2335)",4051,38.21228,62.03443,0,0,0.009,0,0,0,0,0,0,0,0.0083,0,0,0,0,0.0271,0,0,0,0,0,0,0.112,0.8116,0,0,0,0,0,0,0,0,0.0234,0.0083
3946,I2116,Asia,Central Asia,Turkmenistan,"2123-1830 calBCE (3605¡À35 BP, Poz-83490)",3916,38.21228,62.03443,0,0,0,0,0,0.0334,0.0052,0,0.0076,0,0,0,0,0,0,0,0,0.0084,0.0035,0.0025,0,0.003,0.1588,0.7714,0.0057,0,0,0,0,0,0,0,0,0
3947,I2121,Asia,Central Asia,Turkmenistan,"2204-2038 calBCE (3735¡À20 BP, PSUAMS-2314)",4079,38.21228,62.03443,0,0,0,0,0.0015,0,0.0021,0,0,0,0.0122,0,0.0316,0.0091,0,0,0,0,0,0,0,0,0.1292,0.8118,0,0,0,0,0,0,0,0,0,0
3949,I2123,Asia,Central Asia,Turkmenistan,"2451-2141 calBCE (3815¡À35 BP, Poz-83491)",4211,38.21228,62.03443,0.0085,0.0059,0.0024,0.0029,0,0.0608,0,0,0.0128,0.0008,0,0,0,0,0,0,0.0049,0.0039,0,0,0.0892,0,0,0.7965,0,0.0062,0,0,0,0,0.0013,0,0.0016,0
3950,I2125,Asia,Central Asia,Turkmenistan,"2138-1973 calBCE (3670¡À20 BP, PSUAMS-2315)",4011,38.21228,62.03443,0,0,0.0056,0,0,0.0324,0,0,0,0,0,0,0,0.0087,0,0,0,0,0,0,0,0,0.1243,0.7728,0,0,0,0,0,0,0,0,0.0551,0
3951,I2128,Asia,Central Asia,Turkmenistan,"2199-2035 calBCE (3720¡À20 BP, PSUAMS-2316)",4056,38.21228,62.03443,0,0,0.0032,0,0,0.0015,0,0.0464,0.0106,0,0.0281,0,0,0.018,0,0,0,0,0,0,0,0,0.101,0.6888,0,0,0,0.0786,0,0,0,0,0.0235,0
3952,I2497,Asia,Southeast Asia,Vietnam,100 BCE - 100 CE,1950,19.8,105.8,0,0,0,0,0,0,0,0,0.0001,0,0,0,0.0021,0,0,0,0,0,0,0,0.9919,0,0.0049,0.0004,0,0,0,0,0,0,0,0,0,0
3953,I2731,Asia,Southeast Asia,Vietnam,"1872-1636 calBCE (3430¡À20 BP, PSUAMS-2370)",3684,20.13333333,105.9833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9083,0,0,0.0803,0,0,0,0,0,0,0,0,0,0.0111
3954,I2922,Asia,West Asia,Iran,"2198-1985 calBCE (3705¡À25 BP, PSUAMS-2227)",4043,36.15444444,54.38361111,0,0.0028,0.0045,0,0.0003,0.0001,0,0.0058,0.0025,0,0,0,0,0.0008,0,0,0,0.0022,0,0,0,0.0033,0.2303,0.7187,0,0,0,0.0189,0,0,0,0.0004,0.0076,0
3955,I2927,Asia,West Asia,Iran,"2575-2350 calBCE (3970¡À30 BP, PSUAMS-1916)",4447,36.15444444,54.38361111,0,0,0.0045,0,0.0012,0,0.0049,0,0,0,0,0,0.0161,0,0,0,0,0.0012,0,0.0033,0.0067,0.0011,0.1914,0.7633,0,0,0,0,0,0,0,0.0006,0.0052,0
3956,I2928,Asia,West Asia,Iran,"2857-2501 calBCE (4095¡À25 BP, PSUAMS-1917)",4625,36.15444444,54.38361111,0,0,0.0081,0,0,0,0,0.0026,0.0074,0,0.0211,0,0.0215,0.0031,0,0.0043,0,0,0,0.0009,0,0,0.1516,0.761,0,0,0,0.0085,0,0,0,0,0,0.0078
3957,I2960,Asia,South Asia,Pakistan,1000-1250 CE,822,34.74319444,72.31421667,0,0,0.0024,0.0003,0.0021,0.0317,0.1142,0.0182,0.0012,0.0522,0,0,0.0433,0,0,0,0.0078,0,0.0023,0,0.0331,0.0031,0.0706,0.4914,0,0.0103,0,0.0558,0.0079,0,0.0018,0,0.0389,0.009
3958,I3374,Asia,Central Asia,Turkmenistan,"2131-1942 calBCE (3645¡À20 BP, PSUAMS-2317)",3966,38.21228,62.03443,0.0066,0.0021,0,0,0.0019,0.0468,0,0.0036,0,0,0,0,0.0146,0,0,0.005,0,0,0,0.0043,0,0,0.1288,0.7191,0,0,0.0108,0.0306,0,0.0118,0.0074,0,0,0.0063
3959,I3448,Asia,Central Asia,Kazakhstan,1900-1600 BCE,3700,45.13237778,79.36439444,0,0.0017,0,0,0,0.054,0.7959,0,0,0,0.0164,0,0.0218,0,0,0.0013,0,0.0068,0,0.0019,0.0055,0,0.0019,0.0715,0,0,0.0091,0.0002,0,0,0,0,0.01,0
3961,I3807,Europe,South Europe,Spain,1500-1600 CE,400,36.9508333,-3.547222222,0.0034,0,0.0041,0,0.0052,0.0286,0,0,0.0496,0,0.0388,0,0.0158,0.0055,0,0,0.006,0,0,0.0035,0,0,0.0095,0.0047,0,0.0556,0.1027,0.5867,0,0.076,0.0018,0,0,0
3962,I3981,Europe,South Europe,Spain,400-600 CE,1450,37.1775,-3.609166667,0.0019,0,0.005,0,0.0063,0,0.0076,0.0007,0.0466,0,0,0,0.0277,0,0,0,0,0,0.0367,0,0,0,0.0456,0.0125,0,0.1536,0.0651,0.4731,0,0.095,0.014,0,0,0
3963,I4055_published,Europe,South Europe,Spain,200-400 CE,1650,37.1775,-3.609166667,0,0,0,0,0.0119,0,0.0324,0.0088,0.0197,0,0.1548,0.041,0.0578,0,0,0.003,0,0,0,0.0123,0.007,0.0094,0.0172,0,0,0.0483,0.0769,0.4846,0,0,0,0,0,0.0146
3964,I4246_published,Europe,South Europe,Spain,"2401-2146 BCE (3819¡À25 BP) [R_combine: (3910¡À30 BP, PSUAMS-2119); (3650¡À40 BP, Beta-184837)]",4209,40.439,-3.501,0,0,0,0,0.015,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0.0039,0,0.1195,0,0,0.173,0,0.3505,0,0.0987,0.0082,0,0,0.0087
3965,I4451,Oceania,Oceania,Vanuatu,"410-210 calBCE (2348¡À32 BP, Wk-20390)",2260,-17.689401,168.289509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3968,I7182,Asia,West Asia,Israel,2000-1550 BCE,3725,32.032436,34.890611,0,0,0.0154,0,0,0,0,0,0,0,0.0222,0,0,0,0,0,0,0,0,0,0,0.0017,0.816,0.1304,0,0.0109,0,0,0,0,0,0,0,0
3970,I7207,Europe,West Europe,Czech Republic,"2561-2306 calBCE (3935¡À25 BP, PSUAMS-3887)",4370,50.410265,14.074597,0,0,0,0,0.0002,0.0622,0.2213,0.0068,0.0011,0,0.0326,0.0503,0.158,0,0,0,0,0.0068,0.0218,0,0,0,0.0186,0.0877,0,0,0.0303,0.0126,0,0,0,0,0.284,0.0048
3971,I7208,Europe,West Europe,Czech Republic,"2464-2290 calBCE (3885¡À25 BP, PSUAMS-3888)",4324,50.410265,14.074597,0,0,0.0012,0.0001,0,0.0561,0.1829,0.0114,0.0017,0,0.0556,0.0408,0.1484,0.0034,0,0,0,0.016,0.0456,0,0.002,0,0.0279,0.1047,0,0,0.0271,0.0038,0,0,0,0.0003,0.2604,0.0099
3972,I7209,Europe,West Europe,Czech Republic,"2456-2204 calBCE (3850¡À25 BP, PSUAMS-4026)",4269,50.410265,14.074597,0,0,0,0,0,0.0721,0.2109,0.0154,0,0,0.0499,0.0303,0.1664,0,0,0,0,0.0026,0.0399,0.0022,0,0,0.0184,0.0795,0,0,0.0116,0.0279,0,0,0.0045,0.0002,0.2626,0.0049
3973,I7579,Europe,West Europe,Great Britain,"1499-1299 calBCE (3135¡À35 BP, SUERC-25532)",3349,52.122402,-0.511365,0,0.0003,0,0,0.0006,0.0429,0.1754,0.0093,0,0,0.095,0.0477,0.1714,0.002,0,0,0.0008,0.0069,0.1217,0,0,0,0,0.0502,0.0024,0.0978,0.0588,0.0995,0,0,0.0015,0.0006,0,0.015
3974,I7580,Europe,West Europe,Great Britain,"1257-1016 calBCE (2935¡À35 BP, SUERC-25537)",3087,52.122402,-0.511365,0,0,0,0,0,0.049,0.1491,0.0119,0.0019,0,0.1031,0.063,0.1638,0.0023,0,0.0002,0,0.0078,0.1379,0.003,0,0.0014,0.0056,0.0559,0,0.0914,0.0705,0.0765,0,0,0.0024,0.0002,0,0.003
3975,I7271,Europe,West Europe,Czech Republic,2500-2000 BCE,4200,50.19,14.158,0,0,0,0,0.0018,0.0635,0.1874,0.0156,0,0,0.0857,0.0841,0.128,0,0,0,0,0,0.0872,0,0,0,0.0692,0.0896,0,0.1386,0.0145,0.0035,0.0004,0.0285,0,0,0,0
3976,I7278,Europe,West Europe,Czech Republic,"2462-2298 calBCE (3890¡À20 BP, PSUAMS-4349)",4333,50.19,14.158,0,0.0007,0,0,0.0015,0.04,0.202,0.0207,0,0,0.1385,0.0514,0.1118,0.0101,0,0,0,0.0008,0.1452,0,0,0,0.0338,0.0467,0,0.094,0.0297,0.0691,0,0,0,0.0005,0,0.0024
3977,I7041,Europe,East Europe,Hungary,2150-1950 BCE,4000,47.429954,19.051966,0,0,0,0,0.0005,0.0003,0,0.0099,0.0011,0,0.5811,0.0234,0.3449,0,0,0,0.0017,0.0004,0.014,0,0,0,0.0043,0,0,0,0,0.0139,0,0,0.0005,0.0009,0,0.0028
3978,I7043,Europe,East Europe,Hungary,"2138-1973 calBCE (3670¡À20 BP, PSUAMS-4036)",4011,47.429954,19.051966,0,0,0,0,0,0.0094,0.0283,0.0103,0.0028,0,0.5484,0.0431,0.2737,0,0,0,0.0007,0,0,0,0.0002,0,0,0.0254,0,0.0126,0.0062,0.0204,0,0.0012,0.0097,0.0003,0.004,0.0031
3979,I7282,Europe,West Europe,Czech Republic,2500-2000 BCE,4200,50.410265,14.074597,0.0031,0,0,0,0.0013,0.0377,0.1852,0.0057,0,0,0.0782,0.05,0.0986,0,0.0004,0,0,0.0073,0.1002,0.0001,0.0032,0,0.0039,0.0425,0,0.0986,0.0383,0.0689,0,0.1518,0.0222,0,0,0.0022
3980,I7283,Europe,West Europe,Czech Republic,2500-2000 BCE,4200,50.410265,14.074597,0.0032,0,0,0.0036,0.0006,0.0224,0.1331,0.0111,0,0,0.0546,0.0655,0.0756,0.013,0.0043,0.0022,0.0021,0.0076,0.0417,0,0,0,0,0.0326,0,0.163,0.039,0.023,0,0.2707,0.0282,0,0,0.0023
3981,I7289,Europe,West Europe,Czech Republic,"2456-2209 calBCE (3860¡À20 BP, PSUAMS-4353)",4289,50.410265,14.074597,0,0,0.0016,0,0,0.0292,0.181,0,0.0022,0,0.1293,0.0624,0.1094,0.0082,0,0,0,0,0.0499,0,0.0004,0.0028,0.0182,0.0506,0,0.1173,0.0481,0.1184,0,0.0475,0.0184,0,0.0023,0.003
3982,I7210,Europe,West Europe,Czech Republic,"2201-2037 calBCE (3730¡À20 BP, PSUAMS-4236)",4071,50.410265,14.074597,0.0006,0,0,0,0,0.0288,0.1805,0,0.001,0,0.0633,0.0217,0.1008,0,0.0039,0.0015,0,0.0112,0.0979,0,0,0,0.0401,0.0597,0,0.1609,0.11,0.108,0,0,0.0092,0,0,0
3983,I7212,Europe,West Europe,Czech Republic,"2454-2201 calBCE (3840¡À25 BP, PSUAMS-4346)",4247,50.410265,14.074597,0,0,0,0,0.0004,0.0299,0.1834,0.0148,0,0,0.0499,0.0513,0.1192,0,0,0,0,0.0095,0.1103,0,0,0,0.0362,0.0503,0,0.1428,0.0667,0.0763,0,0.0357,0.0207,0,0,0.0017
3984,I7214,Europe,West Europe,Czech Republic,2500-2000 BCE,4200,50.410265,14.074597,0.0011,0.0018,0,0,0.0003,0.0345,0.1526,0.0014,0.001,0,0.1115,0.0752,0.0828,0.0099,0,0.0049,0,0,0.0832,0.0013,0.0027,0,0.0256,0.0625,0,0.1085,0.0439,0.0787,0,0.0734,0.0275,0,0,0.015
3985,I6712,Asia,North Asia,Russia,"2857-2501 calBCE (4095¡À25 BP, PSUAMS-3883)",4625,54.35661,90.919186,0,0.0025,0,0,0.0003,0.245,0.2484,0.0455,0.0011,0,0,0.0126,0.1955,0,0,0,0,0,0.0711,0,0,0,0,0.0591,0,0,0,0.0405,0,0,0,0,0.0775,0
3986,I6711,Asia,North Asia,Russia,2950-2650 BCE,4750,54.35661,90.919186,0,0,0,0,0.0007,0.2707,0.2785,0.0478,0.0036,0,0.0001,0,0.1691,0,0,0,0.0039,0.0083,0.0223,0.0032,0,0,0,0.0986,0,0,0,0.0448,0,0,0,0,0.048,0
3987,I6714,Asia,North Asia,Russia,"2618-2468 calBCE (4020¡À25 BP, PSUAMS-3909)",4479,48.832683,83.909744,0,0.0004,0,0,0,0.2591,0.2324,0.0565,0.0026,0,0,0.0367,0.1908,0,0,0,0,0.0153,0.0249,0,0,0,0,0.0748,0,0,0,0.0561,0,0,0,0,0.0479,0.0022
3988,I6718,Asia,North Asia,Russia,"1615-1466 calBCE (3275¡À25 BP, PSUAMS-3911)",3493,55.1924,89.3053,0,0.0028,0,0,0.0001,0,0.9447,0,0.0012,0,0.0102,0,0.0111,0.0036,0,0,0,0.0018,0,0.0028,0,0,0,0.0035,0,0.004,0,0.0013,0,0.0055,0.0008,0,0.0045,0
3989,I4157,Asia,Central Asia,Uzbekistan,1600-1300 BCE,3400,37.66666667,67,0.0037,0.002,0,0,0.0013,0.039,0.026,0.0158,0.0021,0,0.0416,0,0,0,0,0.0044,0.0067,0,0,0,0,0,0.0907,0.7455,0.003,0,0,0.0001,0.0058,0,0,0,0.0121,0
3990,I6707,Asia,Central Asia,Kazakhstan,"1531-1442 calBCE (3230¡À20 BP, PSUAMS-2978)",3432,49.709894,73.882838,0.0021,0,0,0.0035,0.0018,0,0.8722,0.0026,0,0,0.0102,0.0133,0.0109,0.0105,0,0,0,0.0005,0.0034,0.003,0,0,0.0131,0.0279,0,0,0,0.0136,0,0.0008,0.0039,0.0006,0.0022,0.0034
3991,I6708,Asia,Central Asia,Kazakhstan,"2196-2029 calBCE (3705¡À20 BP, PSUAMS-2916)",4042,48.832683,83.909744,0.0215,0.073,0,0,0,0.6005,0.0539,0,0,0.1626,0,0,0,0.0065,0,0.0157,0,0,0,0,0.0202,0,0.0192,0.0266,0,0,0,0,0,0,0,0,0,0
3992,I6709,Asia,Central Asia,Kazakhstan,"1391-1200 calBCE (3025¡À25 BP, PSUAMS-2940)",3234,49.1244,84.3041,0.0044,0,0,0,0.0008,0.0359,0.6192,0.0118,0,0,0.0206,0.013,0.0268,0,0,0,0,0.0041,0,0.0022,0.0288,0,0.0263,0.1909,0,0,0.0045,0.0048,0,0,0,0,0,0.0052
3993,I6788,Asia,Central Asia,Kazakhstan,"1870-1631 calBCE (3425¡À20 BP, PSUAMS-2921)",3674,52.61,62.69,0,0,0,0,0,0,0.8628,0,0,0,0,0.0309,0.0106,0,0,0,0,0.0109,0,0,0.0085,0,0.0356,0.033,0,0,0,0,0,0,0.0074,0,0,0
3994,I6789,Asia,Central Asia,Kazakhstan,"1879-1691 calBCE (3455¡À20 BP, PSUAMS-2922)",3732,50.09,74.44,0.0061,0,0,0.001,0.001,0,0.8772,0.0062,0.0031,0,0.0105,0,0.02,0.0056,0.0021,0.001,0,0,0.0069,0.0032,0,0,0.0106,0.0107,0,0.001,0.0015,0.0159,0,0.0053,0,0,0.0104,0
3995,I6790,Asia,Central Asia,Kazakhstan,"1874-1642 calBCE (3435¡À20 BP, PSUAMS-2980)",3695,50.09,74.44,0,0,0,0.001,0.001,0,0.899,0,0.0007,0,0,0.0089,0.0162,0,0,0,0,0,0,0.0013,0,0.0002,0.0178,0.0095,0,0.0031,0.0075,0.0137,0,0,0.0018,0,0.017,0.0006
3996,I6791,Asia,Central Asia,Kazakhstan,"1870-1631 calBCE (3425¡À20 BP, PSUAMS-2923)",3674,50.09,74.44,0.0003,0,0,0,0,0,0.8772,0,0.0018,0,0,0.0019,0.0241,0.0033,0,0,0.0047,0.0013,0.0064,0,0,0.0003,0,0.039,0,0,0.0038,0.0087,0,0.0104,0.0019,0.0004,0.0133,0.001
3997,I6792,Asia,Central Asia,Kazakhstan,"1878-1689 calBCE (3450¡À20 BP, PSUAMS-2924)",3724,50.09,74.44,0.0108,0.0254,0,0,0.001,0.1036,0.7543,0.002,0.0013,0.0026,0.0141,0,0.0194,0,0,0,0.0017,0,0,0,0.0003,0,0.0169,0.0361,0,0.0016,0,0.0064,0,0,0.0014,0,0,0
3998,I6793,Asia,Central Asia,Kazakhstan,"1743-1623 calBCE (3395¡À20 BP, PSUAMS-2925)",3631,50.09,74.44,0.001,0.0009,0,0,0.001,0,0.8942,0,0.0026,0,0.0048,0,0.022,0.0051,0,0,0,0,0,0.0049,0,0,0.0159,0.011,0,0.0124,0.0075,0,0,0.0153,0,0.0003,0,0
3999,I6794,Asia,Central Asia,Kazakhstan,"1876-1687 calBCE (3445¡À20 BP, PSUAMS-2926)",3715,50.09,74.44,0,0,0,0,0.0011,0,0.878,0,0.0019,0,0.0189,0.0031,0.0147,0.0051,0,0,0,0.0018,0,0,0.0024,0,0.0071,0.0058,0,0,0.0053,0.0178,0,0.0268,0,0.0001,0.0088,0
4000,I6795,Asia,Central Asia,Kazakhstan,"1748-1624 calBCE (3405¡À20 BP, PSUAMS-2927)",3642,50.09,74.44,0,0.003,0,0.0072,0.0013,0.5794,0.3168,0,0,0,0,0,0,0.001,0.0009,0,0.0124,0.0027,0.003,0,0,0,0,0.0704,0,0,0.0007,0,0,0,0,0.0002,0,0
4001,I6796,Asia,Central Asia,Kazakhstan,"1882-1745 calBCE (3485¡À20 BP, PSUAMS-2928)",3761,50.09,74.44,0,0.0025,0,0,0,0,0.8588,0.0041,0.0024,0,0.0078,0,0.0121,0.0019,0,0.0009,0,0.0013,0.0107,0,0.0034,0,0.0256,0.0252,0,0.0084,0,0.0132,0,0.0158,0,0,0,0.0043
4002,I6797,Asia,Central Asia,Kazakhstan,"1874-1642 calBCE (3435¡À20 BP, PSUAMS-2929)",3695,50.09,74.44,0.0022,0.002,0,0.0041,0,0.0269,0.8515,0.0057,0.0015,0.002,0.0109,0,0.0108,0.0058,0,0,0,0.0053,0,0.0003,0,0.002,0.0089,0.0378,0,0,0.0019,0.0062,0,0,0,0.0009,0.0129,0
4003,I6799,Asia,Central Asia,Kazakhstan,"1876-1687 calBCE (3445¡À20 BP, PSUAMS-2981)",3715,49.12,75.81,0,0,0,0.0026,0.0009,0.1531,0.7152,0.0037,0.0037,0,0,0.0199,0.0238,0,0,0.0034,0.0033,0.0091,0,0,0.0056,0.001,0,0.0121,0,0,0.0072,0.0215,0,0,0,0,0.0106,0.0027
4004,I6800,Asia,Central Asia,Kazakhstan,"1863-1628 calBCE (3415¡À20 BP, PSUAMS-2942)",3656,52.61,62.69,0,0,0.0019,0,0.0001,0.0127,0.8112,0,0.0038,0,0,0,0.0505,0.0033,0,0,0,0.0004,0.0088,0,0,0,0.0143,0.0169,0,0,0.0124,0.0201,0,0.0228,0,0,0.0182,0.0017
4009,I7411,Asia,Central Asia,Uzbekistan,"1681-1533 calBCE (3335¡À20 BP, PSUAMS-3227)",3542,37.75,67,0.0041,0.0053,0,0.0053,0.0009,0.054,0,0.0091,0.0036,0,0,0,0.0093,0,0,0,0,0.0004,0.0101,0.0004,0.0104,0.0015,0.1775,0.6749,0.0027,0,0,0.0063,0,0,0,0,0.0229,0
4011,I7412,Asia,Central Asia,Uzbekistan,"1748-1624 calBCE (3405¡À20 BP, PSUAMS-3228)",3642,37.75,67,0,0.0062,0.0012,0.0062,0.0003,0.0119,0.0041,0.0028,0.008,0,0,0,0.0115,0,0,0,0.0051,0.0011,0.0025,0,0.004,0,0.1907,0.7315,0,0,0.0006,0.0054,0,0,0,0.0007,0.0055,0
