#,ID,Continent,Continent_detail,Country,Full year ,Date mean in BP,Lat.,Long.,As_Ru_3K_0.9K_BCE,As_Ru_5.8K_3.6K_BCE,As_Ru_37.4K_3K_BCE,As_Ru_E_0.1K_1.4K_CE,C_Af_6K_1K_BCE,C_NW_As_2.2K_1.6K_BCE,C_N_As_BCE,C_N_As_CE,E_Af_2.5KBCE_1.6KCE,E_As_6KBCE_0.25KCE,E_C_Eu_6K_2K_BCE,E_Eu_9K_3K_BCE,E_Eu_CE,E_Eu_Po_3K_2.3K_BCE,M_Am_0.6K_1.7K_CE,M_Am_Cuba_1.4KBCE_1.3KCE,NN_Am_1K_2.0K_CE,N_Am_11.5KBCE_1.2KCE,N_Eu_0.7K_1.7K_CE,Oceania_1KBCE_2KCE,SE_As_6KBCE_0.8KCE,SN_Am_3.5KBCE_1.5KCE,SW_As_8K_1.1K_BCE,SW_C_As_9K_0.8K_BCE,S_Am_CE,S_Eu_5.4K_1K_BCE,S_Eu_16K_5K_BCE,S_Eu_CE,S_M_Am_10K_1.5K_BCE,W_Eu_5.5K_2.5K_BCE,W_Eu_30K_5K_BCE,W_Eu_38K_BCE,W_Eu_CE,W_Eu_GB_4K_2.5K_BCE
9196,I8745,Asia,North Asia,Russia,2500-2200 BCE,4300,49.96666667,44.66666667,0,0,0.0011,0,0,0.2544,0.2497,0.0426,0.0003,0,0,0.0567,0.1773,0,0,0,0,0.0076,0.035,0,0,0,0,0.0601,0,0,0.0058,0.0289,0,0,0,0,0.08,0
9197,I8758,Africa,East Africa,Kenya,"756-489 calBCE (2470¡À15 BP, PSUAMS-4624)",2591,-0.458,36.081,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9198,I8802,Africa,East Africa,Kenya,"772-957 calCE (1160¡À15 BP, PSUAMS-4625)",1072,-0.183,35.809,0.0068,0.0217,0.0302,0.0016,0.1818,0.007,0.0008,0.0115,0.5361,0,0,0,0.0019,0.0066,0,0.0027,0,0,0.0044,0.0234,0.031,0.0087,0.0099,0.0367,0.0009,0,0,0.0024,0.0018,0,0.0037,0.0102,0.0061,0.0021
9199,I8804,Africa,East Africa,Kenya,"757-423 calBCE (2465¡À20 BP, PSUAMS-4716)",2576,-0.358,35.699,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9200,I8805,Africa,East Africa,Kenya,"122-215 calCE (1880¡À15 BP, PSUAMS-4741)",1783,-0.375,35.933,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9201,I8808,Africa,East Africa,Kenya,"84-211 calCE (1895¡À15 BP, PSUAMS-4783)",1793,-0.067,34.667,0.0064,0.0196,0.0307,0,0.2088,0.0072,0.0033,0.0049,0.5044,0,0,0,0.0025,0.0029,0,0.0009,0.0026,0.0051,0.0021,0.0256,0.0282,0.0077,0.0021,0.0438,0.0038,0,0.0027,0,0,0,0.0037,0.0131,0.0032,0.0029
9202,I8809,Africa,East Africa,Kenya,"1111-931 calBCE (2855¡À20 BP, PSUAMS-4510)",2967,0.458,36.709,0.0099,0.01,0.0219,0.0012,0.0792,0.0016,0.0041,0.0166,0.5338,0,0.0247,0.0039,0,0.0073,0,0,0.0014,0.0059,0.0046,0.0118,0.0156,0.0089,0.1342,0.0348,0.0009,0,0.0077,0.0249,0,0,0,0.0018,0.0059,0.0071
9203,I8814,Africa,East Africa,Kenya,"541-402 calBCE (2400¡À20 BP, PSUAMS-4784)",2419,-0.663,36.41,0.0195,0.015,0.026,0.0018,0.094,0.0067,0,0.0099,0.5378,0,0.0045,0.0067,0.0046,0,0,0.0013,0.001,0.0057,0,0.0123,0.0073,0.0021,0.1335,0.0289,0.0009,0,0,0.0309,0,0.0094,0.0033,0.002,0.0043,0.0054
9204,I8820_published,Africa,East Africa,Kenya,"898-800 calBCE (2675¡À20 BP, PSUAMS-4717)",2781,0.458,36.709,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9205,I8830_published,Africa,East Africa,Kenya,"409-373 calBCE (2320¡À20 BP, PSUAMS-4720)",2340,-0.663,36.41,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
